team,number,name,total_minutes,appearances
大東文化大学,7,笠原　壮瑠,18,1
上智大学,48,岩永　悠杜,18,2
玉川大学,8,亀田　大空,17,1
玉川大学,33,荒井　陽大,16,1
朝鮮大学校,18,ソン スンイ,15,1
神奈川工科大学（神奈川県）,27,宮代　匠,14,1
大東文化大学,9,熊田　裕,13,1
武蔵大学,9,及川　紘輝,12,2
武蔵大学,18,美濃和　碧,12,1
神奈川工科大学（神奈川県）,22,吉谷　颯,10,1
横浜国立大学（神奈川県）,17,小川　和真,10,1
横浜国立大学（神奈川県）,16,井上　哲志,7,1
横浜国立大学（神奈川県）,27,菊地　海凪,7,1
帝京大学,27,山下 湊太郎,6,1
大東文化大学,28,田中　颯人,6,1
横浜国立大学（神奈川県）,22,鈴木　啓太,5,1
横浜国立大学（神奈川県）,23,川岸　幹太,5,1
上智大学,20,川島　晴空,4,1
上智大学,21,橋本　斗雅,4,1
東京経済大学,26,田中　大夢,4,1
学習院大学,22,柴田　佳輝,4,1
朝鮮大学校,31,カン　フィヨン,4,1
横浜国立大学（神奈川県）,34,長谷川　舜,3,1
帝京大学,25,山下 翔世,2,1
玉川大学,49,鈴木ペドロ　知一郎,1,1
朝鮮大学校,3,金 龍昇,0,0
横浜国立大学（神奈川県）,14,木村　光,0,0
横浜国立大学（神奈川県）,18,田房　朋樹,0,0
横浜国立大学（神奈川県）,21,川瀬　統己,0,0
横浜国立大学（神奈川県）,25,川口　湊人,0,0
横浜国立大学（神奈川県）,30,中野　楓麻,0,0
横浜国立大学（神奈川県）,40,小島　滉人,0,0
日本大学文理学部,12,松尾 凜久,0,0
桜美林大学,80,小野口　怜望,0,0
桜美林大学,18,佐藤　璃央,0,0
学習院大学,12,大西　怜真,0,0
学習院大学,24,柳澤　和希,0,0
学習院大学,18,大久保　史温,0,0
学習院大学,9,佐藤　雄哉,0,0
学習院大学,15,早稲田　睦,0,0
東京経済大学,30,寺内　聡,0,0
神奈川工科大学（神奈川県）,1,古渕　雅喜,0,0
帝京大学,12,牧野 長太朗,0,0
帝京大学,23,大塚 樟太,0,0
上智大学,50,五十嵐　陽人,0,0
横浜国立大学（神奈川県）,4,飯島　浩輝,0,0
上智大学,26,宇野　伶,0,0
玉川大学,12,松本　里央,0,0
日本大学文理学部,77,新門 一晏,0,0
大東文化大学,4,正木　翠羽,0,0
大東文化大学,22,髙野　広大,0,0
学習院大学,25,西村　藍斗,0,0
玉川大学,1,大熊　大輔,0,0
神奈川工科大学（神奈川県）,26,平野　龍斗,0,0
桜美林大学,50,丸田　楽空,0,0
帝京大学,31,飯島　悠翔,0,0
帝京大学,28,田中 奏匠,0,0
帝京大学,21,吉村 晴喜,0,0
朝鮮大学校,30,李 燦喜,0,0
朝鮮大学校,15,高 茂邦,0,0
武蔵大学,7,二杉　茶利,0,0
横浜国立大学（神奈川県）,35,三宅　匡瑛,0,0
東京経済大学,22,長田　崇志,0,0
大東文化大学,45,星野　秀斗,0,0
上智大学,12,中木　智也,0,0
学習院大学,26,西山　康惺,0,0
上智大学,38,瀧川　廉,0,0
日本大学文理学部,32,加藤 匠,0,0
桜美林大学,41,尾﨑　克蔵,0,0
学習院大学,21,伊藤   駿也,0,0
東京経済大学,32,峠舘　永愛,0,0
神奈川工科大学（神奈川県）,16,牛山　航,0,0
学習院大学,29,端谷   蓮,0,0
東京経済大学,22,村野　　大輝,0,0
桜美林大学,29,松並木 　梁仁,0,0
横浜国立大学（神奈川県）,32,馬塲　快,0,0
桜美林大学,49,梅本　高虎,0,0
学習院大学,19,河村　熙玲,0,0
横浜国立大学（神奈川県）,38,石榑　悠人,0,0
帝京大学,43,佐々木　貴彬,0,0
朝鮮大学校,32,朴　誠潤,0,0
日本大学文理学部,71,八木　良祐,0,0
神奈川工科大学（神奈川県）,21,福島　迅人,0,0
東京経済大学,2,瀬下　琥太郎,0,0
